# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49000.5  5.417E-12 -1.399E-10  6.293E-09  0.19  130.
 49001.0  5.321E-12 -1.433E-10  6.295E-09  0.19  130.
 49001.5  5.338E-12 -1.520E-10  6.388E-09  0.20  130.
 49002.0  5.270E-12 -1.507E-10  6.330E-09  0.19  130.
 49002.5  5.354E-12 -1.603E-10  6.452E-09  0.21  130.
 49003.0  5.448E-12 -1.693E-10  6.565E-09  0.22  130.
 49003.5  5.459E-12 -1.684E-10  6.525E-09  0.21  130.
 49004.0  5.593E-12 -1.768E-10  6.623E-09  0.22  130.
 49004.5  5.757E-12 -1.869E-10  6.765E-09  0.23  130.
 49005.0  5.872E-12 -1.903E-10  6.787E-09  0.23  130.
 49005.5  6.112E-12 -2.031E-10  6.950E-09  0.24  130.
 49006.0  6.326E-12 -2.119E-10  7.059E-09  0.24  130.
 49006.5  6.610E-12 -2.244E-10  7.208E-09  0.25  130.
 49007.0  6.914E-12 -2.374E-10  7.367E-09  0.26  130.
 49007.5  7.299E-12 -2.537E-10  7.561E-09  0.27  130.
 49008.0  7.757E-12 -2.742E-10  7.814E-09  0.29  130.
 49008.5  8.208E-12 -2.908E-10  8.001E-09  0.30  130.
 49009.0  8.796E-12 -3.146E-10  8.275E-09  0.32  130.
 49009.5  9.488E-12 -3.426E-10  8.595E-09  0.33  130.
 49010.0  1.028E-11 -3.742E-10  8.952E-09  0.35  130.
 49010.5  1.130E-11 -4.173E-10  9.446E-09  0.38  130.
 49011.0  1.247E-11 -4.634E-10  9.955E-09  0.41  130.
 49011.5  1.390E-11 -5.209E-10  1.058E-08  0.45  130.
 49012.0  1.574E-11 -5.959E-10  1.140E-08  0.50  130.
 49012.5  1.795E-11 -6.813E-10  1.229E-08  0.54  130.
 49013.0  2.090E-11 -7.994E-10  1.353E-08  0.60  130.
 49013.5  2.453E-11 -9.359E-10  1.487E-08  0.67  130.
 49014.0  2.993E-11 -1.155E-09  1.714E-08  0.78  130.
 49014.5  3.691E-11 -1.418E-09  1.968E-08  0.89  130.
 49015.0  4.727E-11 -1.809E-09  2.341E-08  1.04  130.
 49015.5  6.312E-11 -2.395E-09  2.884E-08  1.22  130.
 49016.0  9.012E-11 -3.383E-09  3.778E-08  1.48  130.
 49016.5  1.409E-10 -5.200E-09  5.358E-08  1.82  130.
 49017.0  2.538E-10 -9.159E-09  8.696E-08  2.27  130.
 49017.5  5.857E-10 -2.082E-08  1.858E-07  3.13  130.
 49018.0  1.541E-09 -5.351E-08  4.739E-07  4.55  130.
 49018.5  1.487E-09 -5.174E-08  4.588E-07  4.51  130.
 49019.0  7.859E-10 -2.773E-08  2.470E-07  3.60  130.
 49019.5  3.189E-10 -1.147E-08  1.068E-07  2.43  130.
 49020.0  1.672E-10 -6.140E-09  6.226E-08  1.91  130.
 49020.5  1.056E-10 -3.943E-09  4.343E-08  1.53  130.
 49021.0  7.514E-11 -2.821E-09  3.345E-08  1.26  130.
