# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49000.5  9.430E-10 -6.957E-07  1.284E-04  0.78  300.
 49001.0  6.660E-10 -4.921E-07  9.110E-05  0.77  300.
 49001.5  4.876E-10 -3.604E-07  6.701E-05  0.71  300.
 49002.0  3.909E-10 -2.888E-07  5.390E-05  0.67  300.
 49002.5  3.471E-10 -2.563E-07  4.793E-05  0.65  300.
 49003.0  3.424E-10 -2.530E-07  4.739E-05  0.65  300.
 49003.5  3.760E-10 -2.785E-07  5.214E-05  0.68  300.
 49004.0  4.617E-10 -3.426E-07  6.397E-05  0.73  300.
 49004.5  6.186E-10 -4.593E-07  8.544E-05  0.80  300.
 49005.0  8.129E-10 -6.031E-07  1.119E-04  0.81  300.
 49005.5  9.003E-10 -6.678E-07  1.239E-04  0.79  300.
 49006.0  8.426E-10 -6.252E-07  1.160E-04  0.82  300.
 49006.5  7.269E-10 -5.399E-07  1.004E-04  0.81  300.
 49007.0  5.581E-10 -4.145E-07  7.746E-05  0.73  300.
 49007.5  4.160E-10 -3.079E-07  5.785E-05  0.64  300.
 49008.0  3.291E-10 -2.417E-07  4.557E-05  0.55  300.
 49008.5  2.813E-10 -2.046E-07  3.865E-05  0.49  300.
 49009.0  2.586E-10 -1.863E-07  3.521E-05  0.44  300.
 49009.5  2.547E-10 -1.823E-07  3.449E-05  0.42  300.
 49010.0  2.642E-10 -1.882E-07  3.559E-05  0.41  300.
 49010.5  2.838E-10 -2.019E-07  3.819E-05  0.40  300.
 49011.0  3.065E-10 -2.166E-07  4.088E-05  0.38  300.
 49011.5  3.316E-10 -2.317E-07  4.349E-05  0.36  300.
 49012.0  3.657E-10 -2.513E-07  4.677E-05  0.32  300.
 49012.5  4.237E-10 -2.862E-07  5.265E-05  0.29  300.
 49013.0  5.337E-10 -3.566E-07  6.486E-05  0.26  300.
 49013.5  7.068E-10 -4.705E-07  8.488E-05  0.25  300.
 49014.0  8.565E-10 -5.662E-07  1.017E-04  0.24  300.
 49014.5  8.631E-10 -5.579E-07  9.977E-05  0.21  300.
 49015.0  7.869E-10 -4.830E-07  8.548E-05  0.16  300.
 49015.5  6.743E-10 -3.659E-07  6.235E-05  0.10  300.
 49016.0  6.132E-10 -2.578E-07  3.935E-05  0.04  300.
 49016.5  6.734E-10 -1.778E-07  1.830E-05  0.00  480.
 49017.0  9.595E-10 -1.051E-07 -9.658E-06  0.02  300.
 49017.5  1.941E-09 -1.601E-08 -6.655E-05  0.04  500.
 49018.0  4.800E-09  2.570E-07 -2.372E-04  0.05  500.
