# 6
# wavenum, a0, a1, a2, maxerr, temp(maxerr)
# fit to xsec vs ((T-100)/10)^2
 49000.5  3.317E-11 -6.194E-09  3.146E-07  0.46  200.
 49001.0  2.821E-11 -5.045E-09  2.531E-07  0.36  200.
 49001.5  2.484E-11 -4.256E-09  2.108E-07  0.29  200.
 49002.0  2.310E-11 -3.838E-09  1.880E-07  0.25  200.
 49002.5  2.232E-11 -3.642E-09  1.772E-07  0.23  200.
 49003.0  2.251E-11 -3.680E-09  1.790E-07  0.23  200.
 49003.5  2.309E-11 -3.792E-09  1.843E-07  0.24  200.
 49004.0  2.436E-11 -4.058E-09  1.979E-07  0.26  200.
 49004.5  2.706E-11 -4.659E-09  2.293E-07  0.31  200.
 49005.0  3.015E-11 -5.337E-09  2.644E-07  0.36  200.
 49005.5  3.197E-11 -5.706E-09  2.831E-07  0.37  200.
 49006.0  3.176E-11 -5.586E-09  2.755E-07  0.35  200.
 49006.5  3.101E-11 -5.326E-09  2.603E-07  0.31  200.
 49007.0  2.966E-11 -4.906E-09  2.363E-07  0.26  200.
 49007.5  2.889E-11 -4.603E-09  2.182E-07  0.21  200.
 49008.0  2.929E-11 -4.566E-09  2.141E-07  0.19  200.
 49008.5  3.025E-11 -4.631E-09  2.149E-07  0.17  200.
 49009.0  3.211E-11 -4.898E-09  2.266E-07  0.17  200.
 49009.5  3.440E-11 -5.222E-09  2.403E-07  0.17  200.
 49010.0  3.713E-11 -5.597E-09  2.558E-07  0.16  200.
 49010.5  4.115E-11 -6.255E-09  2.864E-07  0.17  200.
 49011.0  4.585E-11 -6.981E-09  3.188E-07  0.17  200.
 49011.5  5.199E-11 -7.969E-09  3.640E-07  0.18  200.
 49012.0  6.034E-11 -9.361E-09  4.288E-07  0.19  200.
 49012.5  7.202E-11 -1.137E-08  5.232E-07  0.21  200.
 49013.0  8.879E-11 -1.434E-08  6.649E-07  0.24  200.
 49013.5  1.123E-10 -1.852E-08  8.634E-07  0.27  200.
 49014.0  1.380E-10 -2.287E-08  1.067E-06  0.28  200.
 49014.5  1.603E-10 -2.595E-08  1.197E-06  0.25  200.
 49015.0  1.889E-10 -2.956E-08  1.341E-06  0.21  200.
 49015.5  2.308E-10 -3.441E-08  1.522E-06  0.16  200.
 49016.0  3.130E-10 -4.508E-08  1.953E-06  0.13  200.
 49016.5  4.832E-10 -6.875E-08  2.956E-06  0.12  200.
 49017.0  8.716E-10 -1.226E-07  5.221E-06  0.12  200.
 49017.5  2.021E-09 -2.850E-07  1.216E-05  0.12  200.
 49018.0  5.335E-09 -7.459E-07  3.163E-05  0.12  200.
 49018.5  5.166E-09 -7.258E-07  3.090E-05  0.12  200.
 49019.0  2.700E-09 -3.782E-07  1.607E-05  0.12  200.
 49019.5  1.091E-09 -1.535E-07  6.548E-06  0.12  200.
 49020.0  5.662E-10 -7.977E-08  3.408E-06  0.12  200.
 49020.5  3.550E-10 -5.003E-08  2.140E-06  0.12  200.
 49021.0  2.555E-10 -3.637E-08  1.568E-06  0.13  200.
 49021.5  1.999E-10 -2.842E-08  1.226E-06  0.12  200.
 49022.0  1.738E-10 -2.513E-08  1.095E-06  0.14  200.
 49022.5  1.598E-10 -2.307E-08  1.005E-06  0.13  200.
 49023.0  1.631E-10 -2.400E-08  1.055E-06  0.15  200.
 49023.5  1.756E-10 -2.584E-08  1.132E-06  0.14  200.
 49024.0  2.098E-10 -3.114E-08  1.367E-06  0.15  200.
 49024.5  2.774E-10 -4.149E-08  1.822E-06  0.16  200.
 49025.0  4.154E-10 -6.249E-08  2.742E-06  0.16  200.
 49025.5  7.444E-10 -1.126E-07  4.938E-06  0.17  200.
 49026.0  1.739E-09 -2.622E-07  1.144E-05  0.16  200.
 49026.5  4.585E-09 -6.932E-07  3.026E-05  0.17  200.
 49027.0  3.805E-09 -5.761E-07  2.516E-05  0.17  200.
 49027.5  2.732E-09 -4.130E-07  1.804E-05  0.17  200.
 49028.0  1.077E-09 -1.635E-07  7.175E-06  0.17  200.
 49028.5  5.221E-10 -7.974E-08  3.533E-06  0.18  200.
 49029.0  3.131E-10 -4.785E-08  2.137E-06  0.18  200.
 49029.5  2.134E-10 -3.263E-08  1.473E-06  0.17  200.
 49030.0  1.582E-10 -2.424E-08  1.111E-06  0.18  200.
 49030.5  1.218E-10 -1.844E-08  8.583E-07  0.16  200.
 49031.0  9.695E-11 -1.434E-08  6.796E-07  0.14  200.
 49031.5  8.020E-11 -1.156E-08  5.648E-07  0.12  200.
 49032.0  6.830E-11 -9.494E-09  4.859E-07  0.11  200.
 49032.5  5.921E-11 -7.722E-09  4.260E-07  0.09  200.
 49033.0  5.233E-11 -6.069E-09  3.833E-07  0.07  200.
 49033.5  4.658E-11 -4.139E-09  3.517E-07  0.05  200.
 49034.0  4.128E-11 -1.082E-09  3.268E-07  0.03  200.
 49034.5  3.442E-11  6.140E-09  3.168E-07  0.01  220.
 49035.0  1.198E-11  4.251E-08  2.679E-07  0.00  220.
 49035.5 -1.389E-09  2.167E-06  5.492E-07  0.00  200.
 49036.0 -5.328E-11  1.714E-07 -3.171E-08  0.00  220.
 49036.5 -3.260E-12  6.280E-08  1.945E-07  0.00  220.
 49037.0  2.510E-11  7.859E-09  2.287E-07  0.01  200.
 49037.5  2.781E-11  1.133E-09  2.138E-07  0.02  200.
 49038.0  2.879E-11 -1.211E-09  2.102E-07  0.03  200.
 49038.5  2.895E-11 -2.233E-09  2.039E-07  0.04  200.
 49039.0  2.910E-11 -2.795E-09  2.005E-07  0.05  200.
 49039.5  2.914E-11 -3.101E-09  1.960E-07  0.06  200.
 49040.0  2.927E-11 -3.282E-09  1.908E-07  0.06  200.
 49040.5  2.985E-11 -3.506E-09  1.921E-07  0.07  200.
 49041.0  3.043E-11 -3.664E-09  1.929E-07  0.07  200.
 49041.5  3.118E-11 -3.822E-09  1.951E-07  0.07  200.
 49042.0  3.213E-11 -3.986E-09  1.986E-07  0.07  200.
 49042.5  3.323E-11 -4.136E-09  2.015E-07  0.08  200.
 49043.0  3.491E-11 -4.403E-09  2.115E-07  0.07  200.
 49043.5  3.645E-11 -4.576E-09  2.160E-07  0.08  200.
 49044.0  3.886E-11 -4.943E-09  2.316E-07  0.08  200.
 49044.5  4.124E-11 -5.218E-09  2.413E-07  0.08  200.
 49045.0  4.457E-11 -5.678E-09  2.609E-07  0.08  200.
 49045.5  4.796E-11 -6.046E-09  2.742E-07  0.07  200.
 49046.0  5.265E-11 -6.660E-09  3.010E-07  0.08  200.
 49046.5  5.823E-11 -7.354E-09  3.296E-07  0.08  200.
 49047.0  6.535E-11 -8.231E-09  3.670E-07  0.08  200.
 49047.5  7.406E-11 -9.276E-09  4.104E-07  0.08  200.
 49048.0  8.556E-11 -1.069E-08  4.728E-07  0.07  200.
 49048.5  1.006E-10 -1.252E-08  5.517E-07  0.07  200.
 49049.0  1.210E-10 -1.490E-08  6.526E-07  0.07  200.
 49049.5  1.496E-10 -1.823E-08  7.988E-07  0.07  200.
 49050.0  1.950E-10 -2.387E-08  1.059E-06  0.07  200.
 49050.5  2.619E-10 -3.112E-08  1.388E-06  0.06  200.
 49051.0  3.785E-10 -4.296E-08  1.981E-06  0.06  200.
 49051.5  6.060E-10 -5.329E-08  2.950E-06  0.04  200.
 49052.0  1.178E-09  2.823E-07 -1.096E-06  0.00  260.
 49052.5  2.653E-09 -3.000E-07  1.368E-05  0.05  200.
