#  O2 xsec;CfA;O2WB2X0;300 K;50050-50720 cm-1;12587 pts                    
#    WNO      SIGMA
  50050.013     1.345E-23
  50050.061     1.343E-23
  50050.109     1.344E-23
  50050.157     1.336E-23
  50050.205     1.313E-23
  50050.254     1.275E-23
  50050.302     1.224E-23
  50050.350     1.174E-23
  50050.398     1.128E-23
  50050.446     1.092E-23
  50050.494     1.074E-23
  50050.542     1.056E-23
  50050.591     1.030E-23
  50050.639     1.016E-23
  50050.687     1.005E-23
  50050.735     9.989E-24
  50050.783     1.013E-23
  50050.831     1.030E-23
  50050.880     1.030E-23
  50050.928     1.022E-23
  50050.976     9.986E-24
  50051.024     9.633E-24
  50051.072     9.385E-24
  50051.120     9.215E-24
  50051.169     9.160E-24
  50051.217     9.205E-24
  50051.265     9.252E-24
  50051.313     9.193E-24
  50051.361     8.938E-24
  50051.409     8.630E-24
  50051.458     8.475E-24
  50051.506     8.336E-24
  50051.554     8.216E-24
  50051.602     8.097E-24
  50051.650     8.070E-24
  50051.698     8.071E-24
  50051.747     8.147E-24
  50051.795     8.251E-24
  50051.843     8.182E-24
  50051.891     8.106E-24
  50051.939     8.011E-24
  50051.987     7.874E-24
  50052.036     7.829E-24
  50052.084     7.807E-24
  50052.132     7.781E-24
  50052.180     7.796E-24
  50052.228     7.883E-24
  50052.276     8.056E-24
  50052.325     8.244E-24
  50052.373     8.413E-24
  50052.421     8.469E-24
  50052.469     8.461E-24
  50052.517     8.434E-24
  50052.565     8.492E-24
  50052.614     8.636E-24
  50052.662     8.739E-24
  50052.710     8.706E-24
  50052.758     8.584E-24
  50052.806     8.470E-24
  50052.855     8.412E-24
  50052.903     8.327E-24
  50052.951     8.224E-24
  50052.999     8.141E-24
  50053.047     8.141E-24
  50053.095     8.197E-24
  50053.144     8.206E-24
  50053.192     8.209E-24
  50053.240     8.155E-24
  50053.288     8.096E-24
  50053.336     8.056E-24
  50053.384     7.984E-24
  50053.433     7.886E-24
  50053.481     7.732E-24
  50053.529     7.698E-24
  50053.577     7.744E-24
  50053.625     7.842E-24
  50053.673     7.939E-24
  50053.722     7.959E-24
  50053.770     7.999E-24
  50053.818     7.944E-24
  50053.866     7.798E-24
  50053.914     7.623E-24
  50053.962     7.421E-24
  50054.021     7.497E-24
  50054.070     7.740E-24
  50054.118     7.989E-24
  50054.166     8.125E-24
  50054.214     8.065E-24
  50054.262     7.895E-24
  50054.310     7.820E-24
  50054.359     7.851E-24
  50054.407     8.003E-24
  50054.455     8.102E-24
  50054.503     8.152E-24
  50054.551     8.286E-24
  50054.600     8.377E-24
  50054.648     8.344E-24
  50054.696     8.252E-24
  50054.744     8.115E-24
  50054.792     7.995E-24
  50054.840     7.921E-24
  50054.889     7.885E-24
  50054.937     7.959E-24
  50054.985     8.019E-24
  50055.033     7.944E-24
  50055.081     7.871E-24
  50055.129     7.796E-24
  50055.178     7.628E-24
  50055.226     7.394E-24
  50055.274     7.311E-24
  50055.322     7.555E-24
  50055.370     7.754E-24
  50055.418     7.831E-24
  50055.467     7.793E-24
  50055.515     7.643E-24
  50055.563     7.566E-24
  50055.611     7.533E-24
  50055.659     7.478E-24
  50055.708     7.544E-24
  50055.756     7.665E-24
  50055.804     7.728E-24
  50055.852     7.716E-24
  50055.900     7.705E-24
  50055.948     7.670E-24
  50055.997     7.574E-24
  50056.045     7.448E-24
  50056.093     7.383E-24
  50056.141     7.343E-24
  50056.189     7.495E-24
  50056.237     7.622E-24
  50056.286     7.636E-24
  50056.334     7.673E-24
  50056.382     7.693E-24
  50056.430     7.705E-24
  50056.478     7.742E-24
  50056.527     7.727E-24
  50056.575     7.670E-24
  50056.623     7.708E-24
  50056.671     7.829E-24
  50056.719     7.903E-24
  50056.767     7.916E-24
  50056.816     7.844E-24
  50056.864     7.690E-24
  50056.912     7.679E-24
  50056.960     7.757E-24
  50057.008     7.828E-24
  50057.056     7.887E-24
  50057.105     7.925E-24
  50057.153     8.004E-24
  50057.201     8.101E-24
  50057.249     8.124E-24
  50057.297     7.971E-24
  50057.346     7.662E-24
  50057.394     7.406E-24
  50057.442     7.200E-24
  50057.490     7.063E-24
  50057.538     7.082E-24
  50057.586     7.088E-24
  50057.635     7.142E-24
  50057.683     7.216E-24
  50057.731     7.365E-24
  50057.779     7.430E-24
  50057.827     7.431E-24
  50057.875     7.448E-24
  50057.924     7.447E-24
  50057.972     7.556E-24
  50058.020     7.698E-24
  50058.068     7.709E-24
  50058.116     7.761E-24
  50058.165     7.751E-24
  50058.213     7.640E-24
  50058.261     7.603E-24
  50058.309     7.619E-24
  50058.357     7.610E-24
  50058.405     7.450E-24
  50058.454     7.314E-24
  50058.502     7.227E-24
  50058.550     7.067E-24
  50058.598     7.073E-24
  50058.646     7.237E-24
  50058.695     7.327E-24
  50058.743     7.471E-24
  50058.791     7.498E-24
  50058.839     7.447E-24
  50058.887     7.418E-24
  50058.935     7.413E-24
  50058.984     7.494E-24
  50059.032     7.520E-24
  50059.080     7.600E-24
  50059.128     7.565E-24
  50059.176     7.395E-24
  50059.225     7.193E-24
  50059.273     6.988E-24
  50059.321     6.868E-24
  50059.369     6.789E-24
  50059.417     6.778E-24
  50059.465     6.764E-24
  50059.514     6.714E-24
  50059.562     6.757E-24
  50059.610     6.872E-24
  50059.658     6.986E-24
  50059.706     7.046E-24
  50059.755     7.034E-24
  50059.803     7.035E-24
  50059.851     7.080E-24
  50059.899     7.237E-24
  50059.947     7.296E-24
  50059.995     7.260E-24
  50060.044     7.238E-24
  50060.092     7.299E-24
  50060.140     7.345E-24
  50060.188     7.405E-24
  50060.236     7.398E-24
  50060.285     7.372E-24
  50060.333     7.322E-24
  50060.381     7.342E-24
  50060.429     7.450E-24
  50060.477     7.556E-24
  50060.525     7.676E-24
  50060.574     7.786E-24
  50060.622     8.002E-24
  50060.670     8.122E-24
  50060.718     8.069E-24
  50060.766     7.974E-24
  50060.815     7.832E-24
  50060.863     7.696E-24
  50060.911     7.634E-24
  50060.959     7.576E-24
  50061.007     7.503E-24
  50061.056     7.383E-24
  50061.104     7.292E-24
  50061.152     7.153E-24
  50061.200     6.936E-24
  50061.248     6.820E-24
  50061.296     6.793E-24
  50061.345     6.847E-24
  50061.393     6.985E-24
  50061.441     7.110E-24
  50061.489     7.160E-24
  50061.537     7.194E-24
  50061.586     7.193E-24
  50061.634     7.188E-24
  50061.682     7.150E-24
  50061.730     7.133E-24
  50061.778     7.138E-24
  50061.827     7.171E-24
