# (0,0)  R1         R2         R3         P1         P2         P3
1    49360.172  49360.051  49362.424  49355.368      0          0     
3    49357.191  49357.052  49357.585  49345.872  49345.653  49346.164 
5    49349.157  49349.020  49349.602  49331.353  49331.165  49331.662 
7    49336.168  49336.071  49336.649  49311.893  49311.686  49312.662 
9        0      49318.120  49318.720  49287.337  49287.221  49287.776 
11       0          0          0      49257.828  49257.734  49258.344
13   49267.048  49267.125  49267.831  49223.311  49223.311  49223.934 
15   49234.057  49234.152  49234.898  49183.851  49183.851  49184.543 
17   49196.064  49196.160  49196.963  49139.407  49139.407  49184.543 
19       0          0          0      49089.954  49089.954  49090.803
20   49105.037  49105.193  49106.119  49035.576  49035.576  49036.514 
21       0          0          0      48976.136  48976.136  48977.137
