# N     R1        R2          R3       P1          P2         P3
1    50712.665  50712.665     0     50707.944      0          0    
3    50709.306  50709.306 50709.838 50698.344  50698.344  50698.776
5    50700.689  50700.689 50701.180 50683.451  50683.451  50683.823
7    50686.843  50686.843 50687.331 50663.343  50663.343  50663.775
9    50667.788  50667.788 50668.363 50638.011  50638.011  50638.497
11   50643.455  50643.655 50644.203 50607.462  50607.462  50608.012
13   50613.941  50614.212 50614.778 50571.712  50571.712  50572.349
15   50579.202  50579.507 50580.123 50530.688  50530.939  50531.486
17   50539.245  50539.574 50540.300 50484.515  50484.781  50485.451
19   50494.056  50494.429 50495.199     0          0          0    
